access,internal,lock,Max Prob,Prediction,Reference
0.37,0.63,0.00,0.63,internal,access
0.71,0.01,0.28,0.71,access,lock
0.54,0.00,0.46,0.54,access,lock
0.43,0.00,0.57,0.57,lock,access
0.44,0.00,0.56,0.56,lock,access
0.32,0.00,0.68,0.68,lock,access
0.53,0.44,0.03,0.53,access,internal
0.81,0.00,0.19,0.81,access,lock
0.77,0.00,0.23,0.77,access,lock
0.36,0.00,0.64,0.64,lock,access
0.31,0.00,0.69,0.69,lock,access
0.73,0.00,0.27,0.73,access,lock
0.50,0.00,0.50,0.50,access,lock
0.54,0.00,0.46,0.54,access,lock
0.75,0.00,0.25,0.75,access,lock
0.83,0.00,0.17,0.83,access,lock
0.54,0.00,0.46,0.54,access,lock
0.50,0.00,0.50,0.50,access,lock
0.21,0.79,0.00,0.79,internal,access
0.84,0.00,0.16,0.84,access,lock
0.49,0.00,0.51,0.51,lock,access
0.76,0.01,0.23,0.76,access,lock
0.60,0.00,0.40,0.60,access,lock
0.49,0.00,0.51,0.51,lock,access
0.56,0.00,0.44,0.56,access,lock
0.71,0.29,0.00,0.71,access,internal
0.45,0.00,0.55,0.55,lock,access
0.28,0.02,0.70,0.70,lock,access
0.31,0.00,0.69,0.69,lock,access
0.43,0.01,0.56,0.56,lock,access
0.75,0.08,0.17,0.75,access,internal
0.30,0.00,0.70,0.70,lock,access
0.17,0.00,0.83,0.83,lock,access
0.97,0.01,0.02,0.97,access,lock
0.37,0.00,0.63,0.63,lock,access
0.76,0.00,0.24,0.76,access,lock
0.17,0.00,0.83,0.83,lock,access
0.37,0.00,0.63,0.63,lock,access
0.65,0.00,0.35,0.65,access,lock
0.81,0.00,0.19,0.81,access,lock
0.64,0.00,0.36,0.64,access,lock
0.94,0.00,0.06,0.94,access,lock
0.65,0.00,0.35,0.65,access,lock
0.76,0.06,0.18,0.76,access,internal
0.60,0.00,0.40,0.60,access,lock
0.54,0.45,0.01,0.54,access,internal
0.69,0.01,0.30,0.69,access,lock
0.50,0.00,0.50,0.50,access,lock
0.40,0.60,0.00,0.60,internal,access
0.47,0.00,0.53,0.53,lock,access
0.75,0.00,0.25,0.75,access,lock
0.58,0.00,0.42,0.58,access,lock
0.46,0.00,0.54,0.54,lock,access
0.22,0.78,0.00,0.78,internal,access
0.46,0.00,0.54,0.54,lock,access
0.30,0.00,0.70,0.70,lock,access
0.81,0.00,0.19,0.81,access,lock
0.40,0.00,0.60,0.60,lock,access
0.63,0.01,0.36,0.63,access,lock
0.53,0.00,0.47,0.53,access,lock
0.60,0.00,0.40,0.60,access,lock
0.30,0.00,0.70,0.70,lock,access
0.24,0.00,0.76,0.76,lock,access
0.27,0.00,0.73,0.73,lock,access
0.37,0.63,0.00,0.63,internal,access
0.47,0.00,0.53,0.53,lock,access
0.37,0.00,0.63,0.63,lock,access
0.07,0.00,0.93,0.93,lock,access
0.74,0.00,0.26,0.74,access,lock
0.59,0.00,0.41,0.59,access,lock
0.67,0.00,0.33,0.67,access,lock
0.64,0.00,0.36,0.64,access,lock
0.53,0.00,0.47,0.53,access,lock
0.62,0.00,0.38,0.62,access,lock
0.33,0.00,0.67,0.67,lock,access
0.44,0.56,0.00,0.56,internal,access
0.60,0.00,0.40,0.60,access,lock
0.37,0.00,0.63,0.63,lock,access
0.35,0.00,0.65,0.65,lock,access
0.05,0.00,0.95,0.95,lock,access
0.38,0.00,0.62,0.62,lock,access
0.55,0.00,0.45,0.55,access,lock
0.54,0.42,0.04,0.54,access,internal
0.90,0.00,0.10,0.90,access,lock
0.50,0.00,0.50,0.50,access,lock
0.31,0.68,0.01,0.68,internal,access
0.60,0.00,0.40,0.60,access,lock
0.46,0.00,0.54,0.54,lock,access
0.89,0.00,0.11,0.89,access,lock
0.90,0.00,0.10,0.90,access,lock
0.41,0.59,0.00,0.59,internal,access
0.76,0.00,0.24,0.76,access,lock
0.41,0.00,0.59,0.59,lock,access
0.62,0.00,0.38,0.62,access,lock
0.66,0.00,0.34,0.66,access,lock
0.64,0.00,0.36,0.64,access,lock
0.62,0.32,0.06,0.62,access,internal
0.21,0.00,0.79,0.79,lock,access
0.84,0.00,0.16,0.84,access,lock
0.61,0.02,0.37,0.61,access,lock
0.81,0.00,0.19,0.81,access,lock
0.42,0.00,0.58,0.58,lock,access
0.66,0.32,0.02,0.66,access,internal
0.64,0.30,0.06,0.64,access,internal
0.82,0.00,0.18,0.82,access,lock
0.39,0.00,0.61,0.61,lock,access
0.35,0.00,0.65,0.65,lock,access
0.33,0.00,0.67,0.67,lock,access
0.39,0.00,0.61,0.61,lock,access
0.55,0.00,0.45,0.55,access,lock
0.57,0.00,0.43,0.57,access,lock
0.75,0.00,0.25,0.75,access,lock
0.24,0.00,0.76,0.76,lock,access
0.71,0.00,0.29,0.71,access,lock
0.30,0.00,0.70,0.70,lock,access
0.56,0.00,0.44,0.56,access,lock
0.62,0.00,0.38,0.62,access,lock
0.90,0.00,0.10,0.90,access,lock
0.24,0.00,0.76,0.76,lock,access
0.85,0.00,0.15,0.85,access,lock
0.54,0.00,0.46,0.54,access,lock
0.69,0.00,0.31,0.69,access,lock
0.62,0.00,0.38,0.62,access,lock
0.34,0.00,0.66,0.66,lock,access
0.83,0.00,0.17,0.83,access,lock
0.81,0.00,0.19,0.81,access,lock
0.50,0.06,0.44,0.50,access,lock
0.61,0.01,0.38,0.61,access,lock
0.22,0.78,0.00,0.78,internal,access
0.26,0.00,0.74,0.74,lock,access
0.42,0.00,0.58,0.58,lock,access
0.49,0.00,0.51,0.51,lock,access
0.70,0.00,0.30,0.70,access,lock
0.56,0.00,0.44,0.56,access,lock
0.49,0.00,0.51,0.51,lock,access
0.44,0.00,0.56,0.56,lock,access
0.27,0.00,0.73,0.73,lock,access
0.66,0.04,0.30,0.66,access,lock
0.79,0.00,0.21,0.79,access,lock
0.42,0.00,0.58,0.58,lock,access
0.49,0.00,0.51,0.51,lock,access
0.83,0.00,0.17,0.83,access,lock
0.46,0.00,0.54,0.54,lock,access
0.96,0.00,0.04,0.96,access,lock
0.52,0.00,0.48,0.52,access,lock
0.26,0.00,0.74,0.74,lock,access
0.27,0.00,0.73,0.73,lock,access
0.30,0.00,0.70,0.70,lock,access
0.24,0.76,0.00,0.76,internal,access
0.65,0.00,0.35,0.65,access,lock
0.19,0.00,0.81,0.81,lock,access
0.86,0.00,0.14,0.86,access,lock
0.01,0.99,0.00,0.99,internal,access
0.29,0.00,0.71,0.71,lock,access
0.52,0.46,0.02,0.52,access,internal
0.67,0.00,0.33,0.67,access,lock
0.63,0.00,0.37,0.63,access,lock
0.19,0.00,0.81,0.81,lock,access
0.50,0.00,0.50,0.50,access,lock
0.63,0.01,0.36,0.63,access,lock
0.80,0.00,0.20,0.80,access,lock
0.91,0.00,0.09,0.91,access,lock
0.31,0.00,0.69,0.69,lock,access
0.49,0.00,0.51,0.51,lock,access
0.25,0.00,0.75,0.75,lock,access
0.75,0.08,0.17,0.75,access,internal
0.70,0.00,0.30,0.70,access,lock
0.30,0.00,0.70,0.70,lock,access
0.80,0.00,0.20,0.80,access,lock
0.77,0.00,0.23,0.77,access,lock
0.21,0.00,0.79,0.79,lock,access
0.55,0.00,0.45,0.55,access,lock
0.40,0.60,0.00,0.60,internal,access
0.24,0.76,0.00,0.76,internal,access
0.29,0.00,0.71,0.71,lock,access
0.45,0.00,0.55,0.55,lock,access
0.10,0.00,0.90,0.90,lock,access
0.75,0.00,0.25,0.75,access,lock
0.63,0.00,0.37,0.63,access,lock
0.51,0.00,0.49,0.51,access,lock
0.58,0.00,0.42,0.58,access,lock
0.79,0.00,0.21,0.79,access,lock
0.87,0.00,0.13,0.87,access,lock
0.19,0.00,0.81,0.81,lock,access
0.13,0.00,0.87,0.87,lock,access
0.27,0.01,0.72,0.72,lock,access
0.64,0.00,0.36,0.64,access,lock
0.10,0.00,0.90,0.90,lock,access
0.50,0.00,0.50,0.50,access,lock
0.67,0.26,0.07,0.67,access,internal
0.30,0.00,0.70,0.70,lock,access
0.52,0.46,0.02,0.52,access,internal
0.88,0.00,0.12,0.88,access,lock
0.57,0.00,0.43,0.57,access,lock
0.28,0.00,0.72,0.72,lock,access
0.21,0.00,0.79,0.79,lock,access
0.92,0.00,0.08,0.92,access,lock
0.20,0.00,0.80,0.80,lock,access
0.35,0.00,0.65,0.65,lock,access
0.39,0.00,0.61,0.61,lock,access
0.27,0.00,0.73,0.73,lock,access
0.48,0.00,0.52,0.52,lock,access
0.39,0.00,0.61,0.61,lock,access
0.67,0.01,0.32,0.67,access,lock
0.51,0.00,0.49,0.51,access,lock
0.58,0.02,0.40,0.58,access,lock
0.42,0.00,0.58,0.58,lock,access
0.90,0.00,0.10,0.90,access,lock
0.45,0.00,0.55,0.55,lock,access
0.33,0.00,0.67,0.67,lock,access
0.49,0.00,0.51,0.51,lock,access
0.24,0.00,0.76,0.76,lock,access
0.45,0.00,0.55,0.55,lock,access
0.58,0.00,0.42,0.58,access,lock
0.77,0.00,0.23,0.77,access,lock
0.24,0.00,0.76,0.76,lock,access
0.18,0.00,0.82,0.82,lock,access
0.27,0.01,0.72,0.72,lock,access
0.48,0.00,0.52,0.52,lock,access
0.57,0.00,0.43,0.57,access,lock
0.82,0.00,0.18,0.82,access,lock
0.19,0.00,0.81,0.81,lock,access
0.94,0.00,0.06,0.94,access,lock
0.34,0.00,0.66,0.66,lock,access
0.88,0.00,0.12,0.88,access,lock
0.71,0.02,0.27,0.71,access,lock
0.75,0.11,0.14,0.75,access,internal
0.06,0.00,0.94,0.94,lock,access
0.26,0.01,0.73,0.73,lock,access
0.61,0.00,0.39,0.61,access,lock
0.61,0.03,0.36,0.61,access,lock
0.61,0.01,0.38,0.61,access,lock
0.94,0.00,0.06,0.94,access,lock
0.54,0.01,0.45,0.54,access,lock
0.49,0.00,0.51,0.51,lock,access
0.50,0.50,0.00,0.50,access,internal
0.52,0.00,0.48,0.52,access,lock
0.31,0.69,0.00,0.69,internal,access
0.22,0.78,0.00,0.78,internal,access
0.36,0.00,0.64,0.64,lock,access
0.66,0.22,0.12,0.66,access,internal
0.09,0.00,0.91,0.91,lock,access
0.51,0.46,0.03,0.51,access,internal
0.34,0.00,0.66,0.66,lock,access
0.77,0.00,0.23,0.77,access,lock
0.49,0.00,0.51,0.51,lock,access
0.67,0.00,0.33,0.67,access,lock
0.69,0.00,0.31,0.69,access,lock
0.41,0.59,0.00,0.59,internal,access
0.84,0.00,0.16,0.84,access,lock
0.14,0.00,0.86,0.86,lock,access
0.62,0.00,0.38,0.62,access,lock
0.66,0.00,0.34,0.66,access,lock
0.62,0.00,0.38,0.62,access,lock
0.22,0.78,0.00,0.78,internal,access
0.51,0.00,0.49,0.51,access,lock
0.43,0.00,0.57,0.57,lock,access
0.66,0.02,0.32,0.66,access,lock
0.74,0.00,0.26,0.74,access,lock
0.53,0.00,0.47,0.53,access,lock
0.62,0.00,0.38,0.62,access,lock
0.59,0.00,0.41,0.59,access,lock
0.48,0.00,0.52,0.52,lock,access
0.19,0.00,0.81,0.81,lock,access
0.55,0.00,0.45,0.55,access,lock
0.82,0.00,0.18,0.82,access,lock
0.47,0.00,0.53,0.53,lock,access
0.30,0.00,0.70,0.70,lock,access
0.32,0.00,0.68,0.68,lock,access
0.25,0.74,0.01,0.74,internal,access
0.36,0.00,0.64,0.64,lock,access
0.87,0.00,0.13,0.87,access,lock
0.90,0.03,0.07,0.90,access,internal
0.63,0.00,0.37,0.63,access,lock
0.27,0.00,0.73,0.73,lock,access
0.36,0.00,0.64,0.64,lock,access
0.23,0.01,0.76,0.76,lock,access
0.49,0.00,0.51,0.51,lock,access
0.49,0.00,0.51,0.51,lock,access
0.60,0.00,0.40,0.60,access,lock
0.73,0.00,0.27,0.73,access,lock
0.18,0.00,0.82,0.82,lock,access
0.60,0.00,0.40,0.60,access,lock
0.78,0.00,0.22,0.78,access,lock
0.46,0.00,0.54,0.54,lock,access
0.45,0.00,0.55,0.55,lock,access
0.12,0.00,0.88,0.88,lock,access
0.64,0.00,0.36,0.64,access,lock
0.61,0.00,0.39,0.61,access,lock
0.27,0.73,0.00,0.73,internal,access
0.51,0.00,0.49,0.51,access,lock
0.67,0.00,0.33,0.67,access,lock
0.28,0.72,0.00,0.72,internal,access
0.24,0.00,0.76,0.76,lock,access
0.71,0.00,0.29,0.71,access,lock
0.41,0.00,0.59,0.59,lock,access
0.09,0.90,0.01,0.90,internal,access
0.90,0.00,0.10,0.90,access,lock
0.31,0.00,0.69,0.69,lock,access
0.55,0.00,0.45,0.55,access,lock
0.44,0.00,0.56,0.56,lock,access
0.51,0.00,0.49,0.51,access,lock
0.24,0.00,0.76,0.76,lock,access
0.24,0.76,0.00,0.76,internal,access
0.50,0.00,0.50,0.50,access,lock
0.85,0.00,0.15,0.85,access,lock
0.38,0.00,0.62,0.62,lock,access
0.34,0.00,0.66,0.66,lock,access
0.73,0.00,0.27,0.73,access,lock
0.26,0.00,0.74,0.74,lock,access
0.67,0.00,0.33,0.67,access,lock
0.92,0.00,0.08,0.92,access,lock
0.84,0.00,0.16,0.84,access,lock
0.11,0.00,0.89,0.89,lock,access
0.54,0.00,0.46,0.54,access,lock
0.79,0.00,0.21,0.79,access,lock
0.50,0.00,0.50,0.50,access,lock
0.28,0.00,0.72,0.72,lock,access
0.66,0.00,0.34,0.66,access,lock
0.33,0.00,0.67,0.67,lock,access
0.71,0.00,0.29,0.71,access,lock
0.47,0.00,0.53,0.53,lock,access
0.48,0.00,0.52,0.52,lock,access
0.69,0.00,0.31,0.69,access,lock
0.36,0.00,0.64,0.64,lock,access
0.57,0.00,0.43,0.57,access,lock
0.91,0.00,0.09,0.91,access,lock
0.58,0.00,0.42,0.58,access,lock
0.61,0.00,0.39,0.61,access,lock
0.93,0.00,0.07,0.93,access,lock
0.57,0.00,0.43,0.57,access,lock
0.34,0.66,0.00,0.66,internal,access
0.53,0.00,0.47,0.53,access,lock
0.51,0.46,0.03,0.51,access,internal
0.74,0.00,0.26,0.74,access,lock
0.48,0.00,0.52,0.52,lock,access
0.92,0.00,0.08,0.92,access,lock
0.38,0.00,0.62,0.62,lock,access
0.64,0.00,0.36,0.64,access,lock
0.71,0.00,0.29,0.71,access,lock
0.44,0.00,0.56,0.56,lock,access
0.31,0.00,0.69,0.69,lock,access
0.46,0.00,0.54,0.54,lock,access
0.50,0.50,0.00,0.50,access,internal
0.26,0.00,0.74,0.74,lock,access
0.42,0.00,0.58,0.58,lock,access
0.53,0.00,0.47,0.53,access,lock
0.60,0.00,0.40,0.60,access,lock
0.42,0.00,0.58,0.58,lock,access
0.77,0.00,0.23,0.77,access,lock
0.20,0.00,0.80,0.80,lock,access
0.51,0.00,0.49,0.51,access,lock
0.66,0.28,0.06,0.66,access,internal
0.67,0.00,0.33,0.67,access,lock
0.75,0.00,0.25,0.75,access,lock
0.73,0.00,0.27,0.73,access,lock
0.60,0.00,0.40,0.60,access,lock
0.79,0.00,0.21,0.79,access,lock
0.54,0.00,0.46,0.54,access,lock
0.52,0.00,0.48,0.52,access,lock
0.60,0.00,0.40,0.60,access,lock
0.59,0.00,0.41,0.59,access,lock
0.65,0.00,0.35,0.65,access,lock
0.14,0.86,0.00,0.86,internal,access
0.27,0.00,0.73,0.73,lock,access
0.45,0.00,0.55,0.55,lock,access
0.45,0.00,0.55,0.55,lock,access
0.48,0.00,0.52,0.52,lock,access
0.72,0.00,0.28,0.72,access,lock
0.50,0.00,0.50,0.50,access,lock
0.68,0.00,0.32,0.68,access,lock
0.81,0.00,0.19,0.81,access,lock
0.39,0.00,0.61,0.61,lock,access
0.86,0.05,0.09,0.86,access,internal
0.53,0.00,0.47,0.53,access,lock
0.32,0.00,0.68,0.68,lock,access
0.41,0.59,0.00,0.59,internal,access
0.59,0.00,0.41,0.59,access,lock
0.38,0.00,0.62,0.62,lock,access
0.61,0.00,0.39,0.61,access,lock
0.79,0.00,0.21,0.79,access,lock
0.45,0.55,0.00,0.55,internal,access
0.78,0.00,0.22,0.78,access,lock
0.60,0.00,0.40,0.60,access,lock
0.60,0.00,0.40,0.60,access,lock
0.44,0.00,0.56,0.56,lock,access
0.53,0.11,0.36,0.53,access,lock
0.37,0.00,0.63,0.63,lock,access
0.33,0.66,0.01,0.66,internal,access
0.28,0.00,0.72,0.72,lock,access
0.60,0.00,0.40,0.60,access,lock
0.21,0.00,0.79,0.79,lock,access
0.59,0.00,0.41,0.59,access,lock
0.54,0.00,0.46,0.54,access,lock
0.74,0.00,0.26,0.74,access,lock
0.44,0.55,0.01,0.55,internal,access
0.76,0.04,0.20,0.76,access,lock
0.81,0.00,0.19,0.81,access,lock
0.27,0.00,0.73,0.73,lock,access
0.76,0.00,0.24,0.76,access,lock
0.16,0.00,0.84,0.84,lock,access
0.10,0.90,0.00,0.90,internal,access
0.10,0.90,0.00,0.90,internal,access
0.25,0.00,0.75,0.75,lock,access
0.12,0.00,0.88,0.88,lock,access
0.44,0.00,0.56,0.56,lock,access
0.73,0.00,0.27,0.73,access,lock
0.49,0.00,0.51,0.51,lock,access
0.60,0.00,0.40,0.60,access,lock
0.32,0.00,0.68,0.68,lock,access
0.28,0.00,0.72,0.72,lock,access
0.70,0.00,0.30,0.70,access,lock
0.27,0.00,0.73,0.73,lock,access
0.54,0.00,0.46,0.54,access,lock
0.49,0.49,0.02,0.49,access,internal
0.75,0.08,0.17,0.75,access,internal
0.17,0.00,0.83,0.83,lock,access
0.95,0.00,0.05,0.95,access,lock
0.53,0.00,0.47,0.53,access,lock
0.28,0.72,0.00,0.72,internal,access
0.16,0.00,0.84,0.84,lock,access
0.49,0.00,0.51,0.51,lock,access
0.65,0.00,0.35,0.65,access,lock
0.48,0.52,0.00,0.52,internal,access
0.66,0.00,0.34,0.66,access,lock
0.77,0.00,0.23,0.77,access,lock
0.92,0.00,0.08,0.92,access,lock
